cd_nom;Nom_Latin;Nom_FR
189014;Alytes Wagler, 1829 ;Alyte 
964271;Alytes almogavarii Arntzen & García-París, 1995 ;Alyte catalan (L') 
197;Alytes obstetricans (Laurenti, 1768) ;Alyte accoucheur, Crapaud accoucheur 
914450;Amphibia Blainville, 1816 ;Amphibiens 
189946;Bombina Oken, 1816 ;Sonneur 
206;Bombina bombina (Linnaeus, 1761) ;Sonneur à ventre de feu 
212;Bombina variegata (Linnaeus, 1758) ;Sonneur à ventre jaune 
699157;Bufo Garsault, 1764 ;Crapaud 
259;Bufo bufo (Linnaeus, 1758) ;Crapaud commun (Le) 
774678;Bufo spinosus (Daudin, 1803) ;Crapaud épineux (Le) 
819822;Bufotes viridis (Laurenti, 1768) ;Crapaud vert 
191865;Discoglossus Otth, 1837 ;Discoglosse 
223;Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984 ;Discoglosse Corse 
225;Discoglossus pictus Otth, 1837 ;Discoglosse peint 
229;Discoglossus sardus Tschudi in Otth, 1837 ;Discoglosse sarde 
459628;Epidalea calamita (Laurenti, 1768) ;Crapaud calamite 
193458;Hyla Laurenti, 1768 ;Rainette 
281;Hyla arborea (Linnaeus, 1758) ;Rainette verte 
292;Hyla meridionalis Böttger, 1874 ;Rainette méridionale 
774683;Hyla molleri Bedriaga, 1889 ;Rainette ibérique 
79261;Hyla sarda (Betta, 1857) ;Rainette sarde 
444430;Ichthyosaura alpestris (Laurenti, 1768) ;Triton alpestre 
444433;Lissotriton Bell, 1839 ;Lissotriton 
444432;Lissotriton helveticus (Razoumowsky, 1789) ;Triton palmé 
444431;Lissotriton vulgaris (Linnaeus, 1758) ;Triton ponctué 
459618;Lithobates catesbeianus (Shaw, 1802) ;Grenouille taureau 
195917;Pelobates Wagler, 1830 ;Pélobate 
235;Pelobates cultripes (Cuvier, 1829) ;Pélobate cultripède 
240;Pelobates fuscus (Laurenti, 1768) ;Pélobate brun 
252;Pelodytes punctatus (Daudin, 1803) ;Pélodyte ponctué 
444436;Pelophylax Fitzinger, 1843 ;Pélophylax 
444440;Pelophylax kl. esculentus (Linnaeus, 1758) ;Grenouille commune 
444439;Pelophylax kl. grafi (Crochet, Dubois, Ohler & Tunner, 1995) ;Grenouille de Graf 
444441;Pelophylax lessonae (Camerano, 1882) ;Grenouille de Lessona 
699198;Pelophylax lessonae bergeri (Günther in Engelmann, Fritzsche, Günther & Obst, 1986) ;Grenouille de Berger 
444442;Pelophylax perezi (Seoane, 1885) ;Grenouille de Pérez 
444443;Pelophylax ridibundus (Pallas, 1771) ;Grenouille rieuse 
995112;Pelophylax saharicus (Boulenger in Hartert, 1913) ;Grenouille saharienne (La) 
197040;Rana Linnaeus, 1758 ;Grenouille 
299;Rana arvalis Nilsson, 1842 ;Grenouille des champs, Grenouille oxyrhine 
310;Rana dalmatina Fitzinger in Bonaparte, 1838 ;Grenouille agile 
351;Rana temporaria Linnaeus, 1758 ;Grenouille rousse 
701817;Salamandra corsica (Savi, 1838) ;Salamandre de Corse 
92;Salamandra salamandra (Linnaeus, 1758) ;Salamandre tachetée 
198682;Triturus Rafinesque, 1815 ;Triton 
79254;Triturus carnifex (Laurenti, 1768) ;Triton crêté italien 
139;Triturus cristatus (Laurenti, 1768) ;Triton crêté 
150;Triturus cristatus x T. marmoratus ;Triton de Blasius 
163;Triturus marmoratus (Latreille, 1800) ;Triton marbré 
79265;Xenopus laevis (Daudin, 1803) ;Xénope lisse 
