"cd_nom","nom_complet"
"886228","Acanthis Borkhausen, 1797 [Genre - 886228]"
"889048","Acanthis cannabina (Linnaeus, 1758) [Espèce - 889048]"
"4588","Acanthis cannabina (Linnaeus, 1758) [Espèce - 4588]"
"4589","Acanthis cannabina (Linnaeus, 1758) [Espèce - 4589]"
"889047","Acanthis cannabina (Linnaeus, 1758) [Espèce - 889047]"
"4598","Acanthis flammea cabaret (Muller, 1776) [Sous-Espèce - 4598]"
"886231","Acanthis flammea cabaret (Muller, 1776) [Sous-Espèce - 886231]"
"886230","Acanthis flammea cabaret (Muller, 1776) [Sous-Espèce - 886230]"
"886232","Acanthis flammea flammea (Linnaeus, 1758) [Sous-Espèce - 886232]"
"4600","Acanthis flammea flammea (Linnaeus, 1758) [Sous-Espèce - 4600]"
"4595","Acanthis flammea (Linnaeus, 1758) [Espèce - 4595]"
"886229","Acanthis flammea (Linnaeus, 1758) [Espèce - 886229]"
"4597","Acanthis flammea (Linnaeus, 1758) [Espèce - 4597]"
"4278","Acanthiza trochiloides Sundevall, 1837 [Espèce - 4278]"
"4277","Acanthiza trochiloides Sundevall, 1837 [Espèce - 4277]"
"4279","Acanthiza trochiloides Sundevall, 1837 [Espèce - 4279]"
"4275","Acanthiza trochiloides Sundevall, 1837 [Espèce - 4275]"
"3983","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 3983]"
"961284","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 961284]"
"3980","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 3980]"
"3978","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 3978]"
"3982","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 3982]"
"3981","Accentor modularis occidentalis Hartert, 1910 [Sous-Espèce - 3981]"
"188728","Accipiter Brisson, 1760 [Genre - 188728]"
"2873","Accipiter ferox Gmelin, 1771 [Espèce - 2873]"
"961182","Accipiter ferox Gmelin, 1771 [Espèce - 961182]"
"2876","Accipiter ferox Gmelin, 1771 [Espèce - 2876]"
"2875","Accipiter ferox Gmelin, 1771 [Espèce - 2875]"
"927027","Accipiter gentilis arrigonii (Kleinschmidt, 1903) [Sous-Espèce - 927027]"
"2894","Accipiter gentilis arrigonii (Kleinschmidt, 1903) [Sous-Espèce - 2894]"
"782301","Accipiter gentilis gentilis (Linnaeus, 1758) [Sous-Espèce - 782301]"
"2891","Accipiter gentilis (Linnaeus, 1758) [Espèce - 2891]"
"416684","Accipiter gentilis (Linnaeus, 1758) [Espèce - 416684]"
"2893","Accipiter gentilis (Linnaeus, 1758) [Espèce - 2893]"
"846569","Accipiter gentilis (Linnaeus, 1758) [Espèce - 846569]"
"2843","Accipiter korschun Gmelin, 1771 [Espèce - 2843]"
"2840","Accipiter korschun Gmelin, 1771 [Espèce - 2840]"
"961183","Accipiter korschun Gmelin, 1771 [Espèce - 961183]"
"2842","Accipiter korschun Gmelin, 1771 [Espèce - 2842]"
"2895","Accipiter nisus (Linnaeus, 1758) [Espèce - 2895]"
"2897","Accipiter nisus (Linnaeus, 1758) [Espèce - 2897]"
"2898","Accipiter nisus (Linnaeus, 1758) [Espèce - 2898]"
"961179","Accipiter nisus (Linnaeus, 1758) [Espèce - 961179]"
"2899","Accipiter nisus (Linnaeus, 1758) [Espèce - 2899]"
"2897","Accipiter nisus nisus (Linnaeus, 1758) [Sous-Espèce - 2897]"
"2899","Accipiter nisus nisus (Linnaeus, 1758) [Sous-Espèce - 2899]"
"2898","Accipiter nisus nisus (Linnaeus, 1758) [Sous-Espèce - 2898]"
"2895","Accipiter nisus nisus (Linnaeus, 1758) [Sous-Espèce - 2895]"
"961179","Accipiter nisus nisus (Linnaeus, 1758) [Sous-Espèce - 961179]"
"2897","Accipiter nisus wolterstorffi Kleinschmidt, 1901 [Sous-Espèce - 2897]"
"2895","Accipiter nisus wolterstorffi Kleinschmidt, 1901 [Sous-Espèce - 2895]"
"2898","Accipiter nisus wolterstorffi Kleinschmidt, 1901 [Sous-Espèce - 2898]"
"2899","Accipiter nisus wolterstorffi Kleinschmidt, 1901 [Sous-Espèce - 2899]"
"961179","Accipiter nisus wolterstorffi Kleinschmidt, 1901 [Sous-Espèce - 961179]"
"2897","Accipiter wolterstorffi Kleinschmidt, 1901 [Espèce - 2897]"
"961179","Accipiter wolterstorffi Kleinschmidt, 1901 [Espèce - 961179]"
"2899","Accipiter wolterstorffi Kleinschmidt, 1901 [Espèce - 2899]"
"2895","Accipiter wolterstorffi Kleinschmidt, 1901 [Espèce - 2895]"
"2898","Accipiter wolterstorffi Kleinschmidt, 1901 [Espèce - 2898]"
"186053","Accipitri  [Sous-Ordre - 186053]"
"186051","Accipitri  [Sous-Ordre - 186051]"
"186052","Accipitri  [Sous-Ordre - 186052]"
"186052","Accipitridae Vigors, 1824 [Famille - 186052]"
"186053","Accipitridae Vigors, 1824 [Famille - 186053]"
"186051","Accipitridae Vigors, 1824 [Famille - 186051]"
"819756","Accipitriformes  [Ordre - 819756]"
"886299","Accipitrimorphae  [Super-Ordre - 886299]"
"186053","Accipitroidea  [Super-Famille - 186053]"
"186052","Accipitroidea  [Super-Famille - 186052]"
"186051","Accipitroidea  [Super-Famille - 186051]"
"885396","Acrocephalidae Salvin, 1882 [Famille - 885396]"
"4200","Acrocephalus arundinaceus (Linnaeus, 1758) [Espèce - 4200]"
"4198","Acrocephalus arundinaceus (Linnaeus, 1758) [Espèce - 4198]"
"962046","Acrocephalus arundinaceus (Linnaeus, 1758) [Espèce - 962046]"
"4201","Acrocephalus arundinaceus (Linnaeus, 1758) [Espèce - 4201]"
